NCTId,BriefTitle,Condition,Phase,StudyType,InterventionType,InterventionName,Enrollment,StartDate,PrimaryCompletionDate,OverallStatus,LeadSponsorName,planned_enrollment,num_conditions,num_interventions,planned_duration_days,sponsor_type_industry,intervention_type,start_year,has_multiple_conditions,has_multiple_interventions,is_large_trial,label
NCT03489772,Study of ITI-214 in Healthy Volunteers to Determine CNS Engagement,Healthy Volunteers,PHASE1,INTERVENTIONAL,DRUG; DRUG,ITI-214; Placebo,26,2018-07-10,2019-08-05,COMPLETED,"Intra-Cellular Therapies, Inc.",26.0,1,2,391.0,1,DRUG,2018.0,0,1,0,1.0
NCT02458339,Methotrexate Infusion Into Fourth Ventricle in Children With Recurrent Malignant Fourth Ventricular Brain Tumors,"Brain Tumor, Recurrent; Malignant Neoplasm of Fourth Ventricle of Brain",PHASE1,INTERVENTIONAL,PROCEDURE; DRUG,Ommaya Reservoir; Methotrexate,7,2015-06-15,2019-03-01,COMPLETED,"The University of Texas Health Science Center, Houston",7.0,2,2,1355.0,0,PROCEDURE,2015.0,1,1,0,1.0
NCT01933230,Trial of Cooling for Patients With Excel Cryo Cooling System in Intracerebral Hemorrhage (ICH),Intracerebral Hemorrhage,PHASE1,INTERVENTIONAL,DEVICE,Excel Cryo Cooling System,2,2013-06,2014-09,TERMINATED,The Cleveland Clinic,2.0,1,1,457.0,0,DEVICE,2013.0,0,0,0,0.0
NCT05628636,AC-OLE-01-VA Tolerability Study in Healthy Participants Under Different Dosing Conditions,Alzheimer Disease,PHASE1,INTERVENTIONAL,DRUG,AC-OLE-01-VA,18,2022-11-14,2022-12-22,COMPLETED,Cerecin,18.0,1,1,38.0,0,DRUG,2022.0,0,0,0,1.0
NCT01390571,Olaparib and Temozolomide in Treating Patients With Relapsed Glioblastoma,Brain and Central Nervous System Tumors,PHASE1,INTERVENTIONAL,DRUG; DRUG; GENETIC; GENETIC; OTHER; OTHER; PROCEDURE; PROCEDURE; PROCEDURE,olaparib; temozolomide; gene expression analysis; protein expression analysis; laboratory biomarker analysis; pharmacological study; diffusion-weighted magnetic resonance imaging; dynamic contrast-enhanced magnetic resonance imaging; therapeutic conventional surgery,34,2011-07,2017-06-20,COMPLETED,Cancer Research UK,34.0,1,9,2181.0,0,DRUG,2011.0,0,1,0,1.0
NCT00001565,Phase I and Pharmacokinetic Trial of Phenylbutyrate Given as a Continuous Infusion in Pediatric Patients With Refractory Malignancy,Brain Neoplasms; Neuroblastoma,PHASE1,INTERVENTIONAL,DRUG,phenylbutyrate,35,1996-12,,COMPLETED,National Cancer Institute (NCI),35.0,2,1,,0,DRUG,1996.0,1,0,0,1.0
NCT02224664,"Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of PF-06649751 in Parkinson's Disease",Parkinson's Disease,PHASE1,INTERVENTIONAL,DRUG; DRUG; DRUG; DRUG,PF-06649751; PF-06649751; PF-06649751; PF-06649751,50,2014-10,2016-03,COMPLETED,Pfizer,50.0,1,4,517.0,0,DRUG,2014.0,0,1,0,1.0
NCT00005855,Efaproxiral Plus Carmustine in Treating Patients With Progressive or Recurrent Malignant Glioma,Brain and Central Nervous System Tumors,PHASE1; PHASE2,INTERVENTIONAL,DRUG; DRUG,carmustine; efaproxiral,48,2000-07,,COMPLETED,New Approaches to Brain Tumor Therapy Consortium,48.0,1,2,,0,DRUG,2000.0,0,1,0,1.0
NCT00391625,Open-Label Extension Study Evaluating Long Term Safety in Patients With Type 1 Gaucher Disease Receiving DRX008A (ERT),Gaucher Disease,PHASE1; PHASE2,INTERVENTIONAL,DRUG,GA-GCB,10,2004-09-13,2008-01-31,COMPLETED,Shire,10.0,1,1,1235.0,0,DRUG,2004.0,0,0,0,1.0
NCT01902771,Dendritic Cell Vaccine Therapy With In Situ Maturation in Pediatric Brain Tumors,Glioma; Brain Cancer; Brain Tumor; Glioblastoma Multiforme; High Grade Glioma,PHASE1,INTERVENTIONAL,BIOLOGICAL; BIOLOGICAL; OTHER; PROCEDURE,Dendritic Cell Vaccine; Tumor Lysate; Imiquimod; Leukapheresis,1,2013-09-03,2016-10-24,TERMINATED,Edward Ziga,1.0,5,4,1147.0,0,BIOLOGICAL,2013.0,1,1,0,0.0
