NCTId,BriefTitle,Condition,Phase,StudyType,InterventionType,InterventionName,Enrollment,StartDate,PrimaryCompletionDate,OverallStatus,LeadSponsorName,planned_enrollment,num_conditions,num_interventions,planned_duration_days,sponsor_type_industry,intervention_type,start_year,has_multiple_conditions,has_multiple_interventions,is_large_trial,label
NCT00002752,Radiolabeled Monoclonal Antibody Therapy in Treating Patients With Primary or Metastatic Brain Cancers,Brain and Central Nervous System Tumors; Metastatic Cancer,PHASE1; PHASE2,INTERVENTIONAL,RADIATION,iodine I 131 monoclonal antibody 81C6,,1993-02,2003-01,COMPLETED,Duke University,,2,1,3621.0,0,RADIATION,1993.0,1,0,0,1.0
NCT00002543,"Gallium Nitrate in Treating Children With Brain Tumor, Neuroblastoma, Rhabdomyosarcoma, Non-Hodgkin's Lymphoma, or Refractory Solid Tumors","Brain and Central Nervous System Tumors; Lymphoma; Neuroblastoma; Sarcoma; Unspecified Childhood Solid Tumor, Protocol Specific",PHASE1,INTERVENTIONAL,DRUG,gallium nitrate,3,1995-02,,COMPLETED,Medical College of Wisconsin,3.0,5,1,,0,DRUG,1995.0,1,0,0,1.0
NCT00004644,Phase I/II Study of High-Dose Acyclovir for Central Nervous System or Disseminated Neonatal Herpes Simplex Virus Infection,Herpes Simplex,PHASE1; PHASE2,INTERVENTIONAL,DRUG,acyclovir,25,1995-02,,COMPLETED,National Center for Research Resources (NCRR),25.0,1,1,,0,DRUG,1995.0,0,0,0,1.0
NCT00019058,Radiation Therapy in Treating Patients With Glioblastoma,Brain and Central Nervous System Tumors,PHASE1,INTERVENTIONAL,DRUG; DRUG; DRUG; RADIATION,chemotherapy; hydroxyurea; pentoxifylline; radiation therapy,34,1995-04,,COMPLETED,National Cancer Institute (NCI),34.0,1,4,,0,DRUG,1995.0,0,1,0,1.0
NCT00001565,Phase I and Pharmacokinetic Trial of Phenylbutyrate Given as a Continuous Infusion in Pediatric Patients With Refractory Malignancy,Brain Neoplasms; Neuroblastoma,PHASE1,INTERVENTIONAL,DRUG,phenylbutyrate,35,1996-12,,COMPLETED,National Cancer Institute (NCI),35.0,2,1,,0,DRUG,1996.0,1,0,0,1.0
NCT00005813,Bispecific Antibody Plus White Blood Cells in Treating Patients With Recurrent or Refractory Glioblastoma Multiforme,Brain and Central Nervous System Tumors,PHASE1,INTERVENTIONAL,BIOLOGICAL; BIOLOGICAL; PROCEDURE,bispecific antibody MDX447; lymphokine-activated killer cells; conventional surgery,,1997-03,2003-01,COMPLETED,Dartmouth-Hitchcock Medical Center,,1,3,2132.0,0,BIOLOGICAL,1997.0,0,1,0,1.0
NCT00003331,Combination Chemotherapy in Treating Patients With Advanced Cancer,"Chronic Myeloproliferative Disorders; Leukemia; Lymphoma; Multiple Myeloma and Plasma Cell Neoplasm; Myelodysplastic Syndromes; Precancerous Condition; Unspecified Adult Solid Tumor, Protocol Specific",PHASE1,INTERVENTIONAL,DRUG; DRUG; DRUG,fluorouracil; leucovorin calcium; topotecan hydrochloride,30,1998-01,2001-11,COMPLETED,NYU Langone Health,30.0,7,3,1400.0,0,DRUG,1998.0,1,1,0,1.0
NCT00019578,Stereotactic Radiosurgery in Treating Patients With Brain Tumors,Adult Central Nervous System Germ Cell Tumor; Adult Malignant Meningioma; Adult Medulloblastoma; Adult Noninfiltrating Astrocytoma; Adult Oligodendroglioma; Adult Craniopharyngioma; Adult Meningioma; Brain Metastases; Adult Ependymoma; Adult Pineal Parenchymal Tumor; Adult Brain Stem Glioma; Adult Infiltrating Astrocytoma; Mixed Gliomas; Stage IV Peripheral Primitive Neuroectodermal Tumor,PHASE1,INTERVENTIONAL,PROCEDURE,Sterotactic radiosurgery,,1998-11,,COMPLETED,National Institutes of Health Clinical Center (CC),,14,1,,0,PROCEDURE,1998.0,1,0,0,1.0
NCT00003301,Irinotecan in Treating Patients With Recurrent Malignant Glioma,Brain and Central Nervous System Tumors,PHASE1; PHASE2,INTERVENTIONAL,DRUG,irinotecan hydrochloride,,1998-07,,COMPLETED,New Approaches to Brain Tumor Therapy Consortium,,1,1,,0,DRUG,1998.0,0,0,0,1.0
NCT00003461,Radiolabeled Monoclonal Antibody Therapy in Treating Patients With Primary or Metastatic Brain Tumors,Brain and Central Nervous System Tumors; Metastatic Cancer; Neuroblastoma,PHASE1; PHASE2,INTERVENTIONAL,PROCEDURE; RADIATION,surgical procedure; astatine At 211 monoclonal antibody 81C6,,1998-02,2005-02,COMPLETED,Duke University,,3,2,2557.0,0,PROCEDURE,1998.0,1,1,0,1.0
NCT00003462,"Intrathecal Busulfan in Treating Patients With Recurrent, Refractory, or Metastatic Leptomeningeal Tumors",Brain and Central Nervous System Tumors,PHASE1,INTERVENTIONAL,DRUG,busulfan,20,1998-04,2001-02,COMPLETED,Duke University,20.0,1,1,1037.0,0,DRUG,1998.0,0,0,0,1.0
NCT00003876,Internal Radiation Therapy Plus Carmustine Implants in Treating Patients With Recurrent or Refractory Malignant Glioma,Brain and Central Nervous System Tumors,PHASE1,INTERVENTIONAL,DRUG; PROCEDURE; RADIATION,polifeprosan 20 with carmustine implant; surgical procedure; iodine I 125,,1999-04,,COMPLETED,Barrett Cancer Center,,1,3,,0,DRUG,1999.0,0,1,0,1.0
NCT00003956,Combination Chemotherapy in Treating Patients With Advanced Cancer,"Lymphoma; Unspecified Adult Solid Tumor, Protocol Specific",PHASE1,INTERVENTIONAL,DRUG; DRUG; DRUG,fluorouracil; leucovorin calcium; lonafarnib,25,1999-04,2001-01,COMPLETED,Memorial Sloan Kettering Cancer Center,25.0,2,3,641.0,0,DRUG,1999.0,1,1,0,1.0
NCT00005637,Combination Chemotherapy Following Radiation Therapy in Treating Patients With Malignant Glioma,Brain and Central Nervous System Tumors,PHASE1,INTERVENTIONAL,DRUG; DRUG,carmustine; temozolomide,,1999-12,2003-06,COMPLETED,Memorial Sloan Kettering Cancer Center,,1,2,1278.0,0,DRUG,1999.0,0,1,0,1.0
